Module,No. Of Warnings
AAHOA,0
AdcIf,46
ATM,76
BFD,143
BFE,0
BFS,0
BMM,22
BPA,0
BswMIf,3
CanTrcvIf,6
CIL,226
CompilerIf,0
DcmIf,5
DemIf,15
DIA,679
EcuMIf,24
EOL,60
ERH,10
FlsIf,5
HWA,0
IVD,0
MIC,37
MMG,129
NmIf,19
NvmIf,26
NVP,4
OS,0
OsIf,3
PAL,177
PlatformsIf,0
PMP,53
PortIf,21
PRO,0
PwmIf,0
RCM,18
RTE,0
RteIf,0
SBC,0
SCM,55
SFR,0
SpiIf,50
Startup,9
STM,4
TL_Lib,6
