Module,No. Of Warnings
AAHOA,0
AdcIf,169
ATM,138
BFD,349
BFE,0
BFS,0
BMM,145
BPA,0
BswMIf,24
CanTrcvIf,21
CIL,516
CompilerIf,0
DcmIf,43
DemIf,84
DIA,1674
EcuMIf,114
EOL,151
ERH,507
FlsIf,10
HWA,0
IVD,0
MIC,123
MMG,270
NmIf,57
NvmIf,66
NVP,16
OS,0
OsIf,9
PAL,448
PlatformsIf,0
PMP,162
PortIf,51
PRO,0
PwmIf,15
RCM,39
RTE,0
RteIf,0
SBC,1
SCM,137
SFR,0
SpiIf,157
Startup,64
STM,11
TL_Lib,25
