Module,No. Of Warnings
AAHOA,0
AdcIf,0
ATM,0
BFD,0
BFE,0
BFS,0
BMM,0
BPA,0
BswMIf,0
CanTrcvIf,0
CIL,0
CompilerIf,0
DcmIf,0
DemIf,0
DIA,1
EcuMIf,0
EOL,0
ERH,0
FlsIf,10
HWA,0
IVD,0
MIC,0
MMG,0
NmIf,0
NvmIf,0
NVP,0
OS,0
OsIf,0
PAL,0
PlatformsIf,0
PMP,0
PortIf,0
PRO,0
PwmIf,0
RCM,0
RTE,0
RteIf,0
SBC,0
SCM,0
SFR,0
SpiIf,0
Startup,0
STM,0
TL_Lib,0
